"Date","session_id","event_name","event_time","event_id","traffic_source","product_id","quantity","item_price","payment_status","search_keywords","promo_code","promo_amount",""
"1/1/2019","fb0abf9e-fd1a-44dd-b5c0-2834d5a4b81c","HOMEPAGE","2019-09-06T15:54:32.821085Z","9c4388c4-c95b-4678-b5ca-e9cbc0734109","MOBILE","","","","","","","",""
"1/2/2019","fb0abf9e-fd1a-44dd-b5c0-2834d5a4b81c","SCROLL","2019-09-06T16:03:57.821085Z","4690e1f5-3f99-42d3-84a5-22c4c4d8500a","MOBILE","","","","","","","",""
"1/3/2019","7d440441-e67a-4d36-b324-80ffd636d166","HOMEPAGE","2019-09-01T12:05:10.322763Z","88aeaeb5-ec98-4859-852c-8abb483faf31","MOBILE","","","","","","","",""
"1/4/2019","7d440441-e67a-4d36-b324-80ffd636d166","ADD_TO_CART","2019-09-01T12:06:33.322763Z","934e306e-ecc6-472f-9ccb-12c8536910a2","MOBILE","15315","4","313529","","","","",""
"1/5/2019","7d440441-e67a-4d36-b324-80ffd636d166","BOOKING","2019-09-01T12:15:29.425431Z","9f4767a1-40fa-4c9c-9524-dfad18634d56","MOBILE","","","","Success","","","",""
"1/6/2019","7d440441-e67a-4d36-b324-80ffd636d166","SEARCH","2019-09-01T12:07:00.322763Z","c952142b-4fe9-4694-ad7f-21a5d1bed9ca","MOBILE","","","","","Dress Kondangan","","",""
"1/7/2019","7d440441-e67a-4d36-b324-80ffd636d166","HOMEPAGE","2019-09-01T12:08:27.322763Z","365b3840-9647-4bf5-917f-f0bec3d05332","MOBILE","","","","","","","",""
"1/8/2019","7d440441-e67a-4d36-b324-80ffd636d166","ITEM_DETAIL","2019-09-01T12:09:49.322763Z","1a1e3548-108e-4520-bf04-1b01d43a72cb","MOBILE","","","","","","","",""
"1/9/2019","7d440441-e67a-4d36-b324-80ffd636d166","SCROLL","2019-09-01T12:11:06.322763Z","f7246095-b094-46c1-b2ac-bcfd080146c3","MOBILE","","","","","","","",""
"1/10/2019","7d440441-e67a-4d36-b324-80ffd636d166","ITEM_DETAIL","2019-09-01T12:12:19.322763Z","74a000dc-b931-4c59-abcc-02e991623bc1","MOBILE","","","","","","","",""
"1/11/2019","7d440441-e67a-4d36-b324-80ffd636d166","ITEM_DETAIL","2019-09-01T12:13:36.322763Z","85b3589a-5281-48a2-b2f3-a39a7de69f60","MOBILE","","","","","","","",""
"1/12/2019","f7b5cd60-4f87-4b3c-8bde-c7da8930eec2","HOMEPAGE","2019-09-09T04:49:02.425431Z","177faf86-4afe-4214-91f5-dde253b7984d","MOBILE","","","","","","","",""
"1/13/2019","f7b5cd60-4f87-4b3c-8bde-c7da8930eec2","ADD_TO_CART","2019-09-09T05:06:03.425431Z","c1b42157-39a7-4521-a4dc-ed0200de301a","MOBILE","6133","2","249443","","","","",""
"1/14/2019","f7b5cd60-4f87-4b3c-8bde-c7da8930eec2","ADD_TO_CART","2019-09-09T05:23:36.425431Z","61cbe834-c585-406e-8eac-30f671e51fbb","MOBILE","6721","1","134504","","","","",""
"1/15/2019","f7b5cd60-4f87-4b3c-8bde-c7da8930eec2","ADD_TO_CART","2019-09-09T05:42:03.425431Z","2bd3f01a-e062-4c13-8b9d-598fb5379ed2","MOBILE","57622","1","384716","","","","",""
"1/16/2019","f7b5cd60-4f87-4b3c-8bde-c7da8930eec2","ADD_TO_CART","2019-09-09T05:58:58.425431Z","ba1c5f20-869a-42be-878c-75496c28aba3","MOBILE","5490","1","121318","","","","",""
"1/17/2019","f7b5cd60-4f87-4b3c-8bde-c7da8930eec2","ADD_TO_CART","2019-09-09T06:16:07.425431Z","b72d14a0-15d4-4099-89ce-76aba204538f","MOBILE","21304","1","209086","","","","",""
"1/18/2019","f7b5cd60-4f87-4b3c-8bde-c7da8930eec2","ADD_TO_CART","2019-09-09T06:32:41.425431Z","29d5034a-c2ba-4e2f-abdd-3b4a81dbda78","MOBILE","12106","1","184033","","","","",""
"1/19/2019","f7b5cd60-4f87-4b3c-8bde-c7da8930eec2","ADD_TO_CART","2019-09-09T06:49:47.425431Z","5cf07ed1-a2f7-4918-b639-a101d6eac14e","MOBILE","59647","1","311267","","","","",""
"1/20/2019","f7b5cd60-4f87-4b3c-8bde-c7da8930eec2","ADD_TO_CART","2019-09-09T07:05:44.425431Z","107cc669-e607-4478-9ee8-e7619a68a7c5","MOBILE","24105","1","216070","","","","",""
"1/21/2019","f7b5cd60-4f87-4b3c-8bde-c7da8930eec2","ADD_PROMO","2019-09-09T07:22:05.425431Z","28329764-aa29-4e7a-9d8e-eee88d00a640","MOBILE","","","","","","AZ2022","7047",""
"1/22/2019","f7b5cd60-4f87-4b3c-8bde-c7da8930eec2","BOOKING","2019-09-09T12:17:55.425431Z","3e6b12bf-2a80-4399-9afb-6bb1e0fa15bc","MOBILE","","","","Success","","","",""
